longitude,latitude
-72.78899,46.40348
-114.087755,51.058062
-122.71865,49.255921
-123.065112,49.178676
-79.590929,43.718879
-72.08073,46.32554
-79.715441,43.852157
-73.78155,45.99401
-72.92965,46.34772
-75.828052,45.40957
-114.10347,51.037481
-113.929228,51.161364
-122.888259,49.188793
-113.931135,50.901434
-76.22848,51.18465
-114.042957,51.06608
-113.91782,50.896917
-114.07974,51.074088
-123.146849,49.189411
-75.77364,52.94005
-79.421865,43.692767
-73.671547,45.585273
-78.1177,48.61211
-75.01215,50.82464
-79.702128,43.851553
-75.816264,45.449879
-122.901579,49.182993
-75.604888,45.387158
-122.82396,49.214816
-122.941007,49.201699
-73.885292,45.530871
-74.09429,47.85402
-75.691808,45.419023
-73.71249,51.43465
-74.62281,45.80216
-79.344071,43.712913
-122.892068,49.168186
-114.171507,51.169834
-79.29825,48.20893
-73.04133,46.74761
-74.21388,45.80846
-114.152438,51.048343
-79.5289,47.4528
-73.638604,45.514051
-123.060002,49.13022
-113.989245,51.091669
-71.9861,45.2028
-70.91535,47.08513
-72.00458,45.84502
-75.703449,45.442403
-66.69083,48.02608
-73.727489,45.481803
-73.831835,45.513238
-70.19891,51.97153
-71.69318,48.33693
-79.634986,43.724501
-77.86594,51.64898
-114.111602,50.96834
-68.19534,50.08513
-73.79886,49.29047
-75.632225,45.468111
-113.996151,51.030424
-73.60124,48.71523
-122.920933,49.232083
-79.461783,43.674396
-70.16115,49.27968
-75.714705,45.402542
-74.20229,45.77698
-73.543146,45.630401
-79.0286,48.8586
-114.061866,51.06387
-75.673376,45.448944
-113.947021,50.967566
-75.8713,47.468
-122.902705,49.254527
-71.20931,48.46793
-69.93818,49.10492
-77.16379,51.25719
-71.37577,47.02698
-70.26229,47.85941
-122.803002,49.145651
-68.9356,47.925
-68.61279,51.85492
-114.058025,50.896461
-114.031665,51.17094
-68.90676,50.55846
-77.0981,47.0869
-78.57678,46.67746
-122.851062,49.188111
-72.62945,49.27608
-74.07687,45.88549
-71.71674,45.33274
-73.531936,45.489743
-74.36644,45.70983
-78.98818,46.76799
-79.616093,43.792805
-75.706925,45.463467
-75.813137,45.331508
-79.494562,43.67327
-114.056049,51.067
-122.812765,49.223929
-123.067277,49.178845
-114.135836,51.147701
-73.89918,45.516287
-73.68057,49.63909
-69.4731,48.4214
-75.624224,45.350763
-75.88384,48.88909
-79.375213,43.663547
-79.450873,43.837965
-76.51419,53.25
-74.34952,49.99131
-79.487836,43.718588
-113.94305,50.997194
-73.86887,45.8765
-113.988583,51.004751
-122.760816,49.175068
-75.18839,46.68375
-73.482758,45.546842
-73.80357,45.98142
-72.99348,46.41846
-75.3557,48.907
-113.919314,50.915823
-122.874814,49.172515
-73.461833,45.560078
-73.69429,46.04407
-73.566586,45.594071
-77.4844,46.71
-78.42681,51.19724
-73.95753,47.34233
-72.91273,46.70264
-79.655402,43.905761
-113.934116,50.92228
-79.532841,43.695706
-78.5464,52.6544
-74.10984,45.86841
-114.065497,51.158574
-79.714877,43.675144
-74.07817,45.84682
-75.74357,45.63639
-79.70052,43.712498
-74.26819,45.24311
-75.634871,45.4081
-114.151766,51.159196
-71.31982,48.28148
-75.655311,45.416414
-72.34906,46.23142
-72.24343,46.80666
-71.9331,46.9
-72.09052,46.76709
-76.20244,49.99311
-122.718201,49.140511
-69.73596,50.15528
-70.60603,48.1292
-114.058844,51.112034
-73.623242,45.529641
-113.978499,50.965015
-122.827644,49.166468
-79.411037,43.865416
-114.054805,50.976535
-123.189937,49.169272
-74.1418,49.3348
-72.69114,48.93016
-67.855,52.2253
-77.4493,48.1425
-77.68226,48.40978
-113.960436,50.906827
-78.1814,48.5793
-79.40022,48.99401
-72.12803,49.32284
-75.85285,46.32464
-122.861581,49.227762
-66.68947,48.04407
-79.477398,43.805605
-72.446,45.61391
-78.47994,47.73951
-113.986878,51.093959
-75.686263,45.387189
-69.9882,52.44095
-71.55085,48.36211
-79.675666,43.741027
-122.725957,49.149817
-75.665173,45.364104
-79.3338,43.831788
-64.91939,48.83513
-72.36475,48.83004
-73.685834,45.433002
-78.20926,48.52788
-72.9439,45.1106
-73.74363,45.1274
-79.310184,43.915322
-73.918929,45.474052
-68.34575,50.64988
-114.010052,50.928507
-77.44455,48.32464
-113.924923,50.997287
-75.830113,45.374201
-75.63798,45.384254
-73.9075,46.6661
-79.51016,43.876078
-73.67154,45.547346
-114.109453,50.898162
-122.909528,49.100131
-72.28447,48.4994
-123.15257,49.111994
-79.1326,50.68645
-69.14755,48.81025
-73.47173,48.08423
-79.49043,48.86391
-73.05796,47.65798
-122.995788,49.207641
-76.9848,49.38729
-73.898587,45.558153
-76.055,45.70444
-75.25064,46.7545
-75.9948,46.19544
-76.36966,47.96613
-114.083224,50.927864
-72.72264,48.90078
-79.26654,48.72063
-69.59487,49.35672
-74.04831,50.06565
-69.38056,47.74041
-73.473068,45.429315
-74.35795,49.96343
-122.783351,49.249852
-73.56821,45.532382
-113.995947,51.172209
-79.537493,43.680865
-72.83959,47.41067
-73.785459,45.540962
-114.132454,51.0315
-69.41125,48.35222
-114.104666,50.904044
-73.485899,45.454045
-69.09862,48.63729
-122.777925,49.184652
-64.55354,48.39629
-73.426108,45.439529
-77.72436,48.21163
-71.8135,47.13729
-114.008024,51.079254
-76.0608,53.565
-79.438103,43.84973
-73.910941,45.559573
-75.827536,45.394769
-75.78673,45.99671
-73.62502,46.28867
-79.65414,43.801392
-65.5936,50.2978
-79.519737,43.813609
-122.807185,49.246705
-65.2311,48.1492
-114.005766,51.048342
-75.08633,46.05036
-75.5855,45.5822
-71.96806,45.2518
-79.681399,43.735852
-114.07735,51.074835
-75.96249,45.94455
-73.47859,45.459556
-76.97529,46.25989
-77.16097,50.86031
-76.60166,51.49761
-113.959289,51.026756
-73.684818,45.643482
-79.260187,43.764852
-114.023133,51.114053
-122.865249,49.18387
-75.72517,45.462084
-75.21899,45.89359
-72.4064,46.0
-79.702587,43.855227
-73.6814,46.0164
-71.58908,46.85492
-73.431219,45.400354
-75.797279,45.448691
-72.0525,45.6033
-73.649369,45.565087
-72.31998,47.65708
-114.07737,50.924564
-73.581227,45.571584
-71.04198,45.90258
-79.368349,43.632962
-75.676729,45.395832
-73.66742,45.635336
-72.41537,45.93465
-75.701178,45.445668
-72.32566,45.30306
-72.58333,45.84682
-72.90896,45.57644
-71.95513,45.44724
-75.803347,45.376019
-75.04017,46.55846
-73.36564,45.17386
-74.3999,49.92746
-75.695543,45.385545
-73.768415,45.48966
-74.44973,45.76169
-74.0968,45.8801
-77.989,49.1319
-73.817577,45.586145
-78.26365,47.84592
-122.728871,49.265292
-122.959779,49.18168
-114.018529,51.144186
-76.25436,52.05486
-74.24732,47.89898
-72.0574,51.3801
-76.41387,49.93106
-114.129021,50.99077
-73.609959,45.470729
-79.596047,43.640341
-79.594138,43.70686
-71.7186,50.9456
-73.843289,45.423431
-79.422743,43.646565
-72.62331,45.14539
-79.435701,43.736814
